,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,coruripe,51,BR,1604017788,85,-10.13,-36.18,24.7,6.13
1,sorland,98,NO,1604017864,72,67.67,12.69,4.08,6.55
2,atuona,86,PF,1604017735,72,-9.8,-139.03,25.67,7.12
3,esna,0,EG,1604018012,31,25.29,32.55,25.0,2.9
4,kapaa,1,US,1604017888,58,22.08,-159.32,28.0,5.7
5,rota,0,ES,1604018013,51,36.62,-6.36,15.0,2.1
6,zhangye,0,CN,1604018013,62,38.93,100.45,4.99,4.16
7,puerto ayora,0,ES,1604017862,51,36.59,-6.23,15.0,2.1
8,verkhoyansk,100,RU,1604017914,92,67.54,133.38,-15.91,0.64
9,port lincoln,100,CD,1604018013,60,-7.03,29.76,24.49,1.06
10,humaita,77,BR,1604017984,78,-7.51,-63.02,25.23,0.72
11,qaanaaq,39,GL,1604017727,72,77.48,-69.36,-14.65,2.55
12,san julian,68,ML,1604018013,17,13.3,-4.9,25.54,2.48
13,acapetahua,75,MX,1604018013,100,15.28,-92.7,26.0,0.81
14,kananga,100,CD,1604018013,99,-5.9,22.42,20.74,0.69
15,gualaquiza,91,EC,1604018013,86,-3.4,-78.55,19.38,0.77
16,domoni,7,KM,1604018014,82,-12.26,44.53,24.55,2.64
17,chapais,0,CA,1604017874,97,49.78,-74.85,-10.45,2.24
18,iqaluit,50,CA,1604017730,90,63.75,-68.51,-15.0,4.05
19,bosaso,0,SO,1604018014,78,11.28,49.18,25.74,0.72
20,kaitangata,100,NZ,1604017595,82,-46.28,169.85,15.0,3.58
21,kavieng,100,PG,1604017740,79,-2.57,150.8,27.21,4.32
22,souillac,18,MU,1604017729,63,-20.52,57.52,21.11,3.13
23,vila franca do campo,75,PT,1604017929,93,42.03,-8.16,13.89,3.1
24,hithadhoo,26,MV,1604017545,75,-0.6,73.08,28.35,5.37
25,bredasdorp,2,ZA,1604017726,66,-34.53,20.04,10.0,3.1
26,busselton,0,AU,1604017917,31,-33.65,115.33,23.89,3.78
27,chitral,0,PK,1604018014,37,35.85,71.79,8.4,2.61
28,punta arenas,100,PH,1604018015,86,8.99,125.34,25.8,0.9
29,gizo,100,SB,1604018015,69,-8.1,156.84,29.1,3.32
30,marystown,100,CA,1604018015,74,47.17,-55.15,5.61,5.2
31,oyama,75,JP,1604018015,54,36.3,139.8,16.67,2.6
32,avarua,100,CK,1604017725,69,-21.21,-159.78,26.0,3.1
33,butaritari,72,KI,1604017752,74,3.07,172.79,27.87,5.71
34,coahuayana,75,MX,1604017740,83,18.73,-103.68,25.0,4.1
35,tiksi,99,RU,1604017918,95,71.69,128.87,-13.04,2.57
36,sabang,84,ID,1604018015,73,5.89,95.32,27.95,4.85
37,rikitea,100,PF,1604017914,74,-23.12,-134.97,24.14,3.42
